city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Sunderland,Sunderland,54.9200,-1.3800,United Kingdom,GB,GBR,Sunderland,admin,452934,1826736387
Sutton,Sutton,51.3500,-0.2000,United Kingdom,GB,GBR,Sutton,admin,,1826827095
Swindon,Swindon,51.5167,-1.7833,United Kingdom,GB,GBR,Swindon,admin,,1826498106
Taunton,Taunton,51.0211,-3.1047,United Kingdom,GB,GBR,Somerset,admin,,1826959489
Telford,Telford,52.6333,-2.5000,United Kingdom,GB,GBR,Telford and Wrekin,admin,,1826968934
Thornbury,Thornbury,51.6089,-2.5203,United Kingdom,GB,GBR,South Gloucestershire,admin,,1826096107
Torquay,Torquay,50.4500,-3.5000,United Kingdom,GB,GBR,Torbay,admin,,1826982921
Trowbridge,Trowbridge,51.3189,-2.2086,United Kingdom,GB,GBR,Wiltshire,admin,,1826965204
Truro,Truro,50.2617,-5.0433,United Kingdom,GB,GBR,Cornwall,admin,,1826586304
Twickenham,Twickenham,51.4333,-0.3167,United Kingdom,GB,GBR,Richmond upon Thames,admin,,1826827915
Usk,Usk,51.7025,-2.9042,United Kingdom,GB,GBR,Monmouthshire,admin,,1826007615
Uxbridge,Uxbridge,51.5500,-0.4833,United Kingdom,GB,GBR,Hillingdon,admin,,1826505308
Wakefield,Wakefield,53.7000,-1.4833,United Kingdom,GB,GBR,Wakefield,admin,,1826013112
Wallasey,Wallasey,53.4333,-3.0667,United Kingdom,GB,GBR,Wirral,admin,,1826741418
Wallsend,Wallsend,54.9914,-1.5597,United Kingdom,GB,GBR,North Tyneside,admin,,1826171317
Walsall,Walsall,52.6000,-2.0000,United Kingdom,GB,GBR,Walsall,admin,,1826655696
Walthamstow,Walthamstow,51.6000,-0.0333,United Kingdom,GB,GBR,Waltham Forest,admin,,1826009890
Wandsworth,Wandsworth,51.4500,-0.2000,United Kingdom,GB,GBR,Wandsworth,admin,,1826844924
Warrington,Warrington,53.3833,-2.6000,United Kingdom,GB,GBR,Warrington,admin,,1826261547
Warwick,Warwick,52.2833,-1.5833,United Kingdom,GB,GBR,Warwickshire,admin,,1826383937
Wembley,Wembley,51.5500,-0.2833,United Kingdom,GB,GBR,Brent,admin,,1826635683
Weston-super-Mare,Weston-super-Mare,51.3458,-2.9678,United Kingdom,GB,GBR,North Somerset,admin,,1826189795
Wick,Wick,58.4333,-3.0834,United Kingdom,GB,GBR,Highland,,7147,1826766399
Widnes,Widnes,53.3500,-2.7333,United Kingdom,GB,GBR,Halton,admin,,1826947686
Wigan,Wigan,53.5333,-2.6167,United Kingdom,GB,GBR,Wigan,admin,,1826902223
Winchester,Winchester,51.0167,-1.3167,United Kingdom,GB,GBR,Hampshire,admin,,1826967267
Wokingham,Wokingham,51.4167,-0.8333,United Kingdom,GB,GBR,Wokingham,admin,,1826878333
Wolverhampton,Wolverhampton,52.5833,-2.1333,United Kingdom,GB,GBR,Wolverhampton,admin,,1826636841
Wood Green,Wood Green,51.6000,-0.1167,United Kingdom,GB,GBR,Haringey,admin,,1826902664
Woolwich,Woolwich,51.4667,0.2000,United Kingdom,GB,GBR,Greenwich,admin,,1826479020
Worcester,Worcester,52.2000,-2.2000,United Kingdom,GB,GBR,Worcestershire,admin,,1826393854
Wrecsam,Wrecsam,53.0500,-3.0000,United Kingdom,GB,GBR,Wrexham,admin,,1826879983
York,York,53.9704,-1.0800,United Kingdom,GB,GBR,York,admin,158947,1826149980
Ystrad Mynach,Ystrad Mynach,51.6403,-3.2433,United Kingdom,GB,GBR,Caerphilly,admin,,1826498228
